Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
South Africa,29,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Switzerland,26,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Kenya,23,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Tunisia,22,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Serbia,22,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ecuador,21,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Algeria,21,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
New Zealand,21,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Latvia,20,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Portugal,19,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Croatia,19,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Trinidad and Tobago,18,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Jamaica,17,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sudan,16,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Slovenia,16,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Brunei,15,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Cambodia,15,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Costa Rica,14,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Panama,14,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Dominican Republic,13,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Nepal,13,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mauritius,12,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Cyprus,11,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ethiopia,10,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bahamas,10,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bosnia and Herzegovina,9,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Barbados,8,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Lithuania,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Maldives,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Estonia,6,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands Antilles,6,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Macedonia,6,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Georgia,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Réunion,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Azerbaijan,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Palestinian Territories,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Togo,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Luxembourg,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Moldova,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Lebanon,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Dominica,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Uganda,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Tanzania,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Belarus,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
El Salvador,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bolivia,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Libya,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Malta,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Yemen,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guatemala,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Aruba,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Paraguay,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Armenia,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mongolia,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Myanmar [Burma],3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Nicaragua,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Zambia,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Iran,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Fiji,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guyana,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guam,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guadeloupe,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Afghanistan,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Albania,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Botswana,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Senegal,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Côte d’Ivoire,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Rwanda,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Northern Mariana Islands,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Macau SAR China,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
French Polynesia,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Honduras,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Zimbabwe,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Iceland,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Jersey,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Kazakhstan,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Laos,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Saint Lucia,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Uzbekistan,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Antigua and Barbuda,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Angola,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Lesotho,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Marshall Islands,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mozambique,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
New Caledonia,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Haiti,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Cayman Islands,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
